,Empresa,nome,count_x,count_y,proporcao_nomes_por_qtde_socios
1995,Amplitude Incorporadora e Construtora Ltda.,Brasileiro,2,4,50.0
2005,Amryt Brasil Comercio e Importacao de Medicamentos Ltda.,Aegerion,1,2,50.0
2041,Ams Capital Ltda.,Pedro,2,15,13.333333333333334
2055,Amserve Limpeza e Servicos Ltda.,Adair,1,1,100.0
2058,Amvaz Construcao Civil Eireli,Amanda,1,1,100.0
2061,Amx Servicos Administrativos Ltda.,Almeida,2,2,100.0
2068,Analia Franco Empreendimentos Esportivos Ltda.,Academias,1,3,33.33333333333333
2075,Analia Franco Servicos de Alimentacao Ltda.,Laja,1,3,33.33333333333333
2077,Anastacio Empreendimentos Imobiliarios e Part.Ltda.,Brazil,1,2,50.0
2081,Anastacio Servicos Ltda.,Anastacio,1,1,100.0
2085,Anauate Gestao de Propriedades Ltda.,Anauate,3,3,100.0
2089,Andorinha Servicos Operacionais Ltda.,Modesto,1,1,100.0
2130,Andre de Almeida Advogados Associados,Rodrigo,2,15,13.333333333333334
2140,Andrea Campos Tavares Confeccoes,Andrea,1,1,100.0
2143,"Andreoli/Manning, Selvage & Lee Ltda.",B.V.,1,1,100.0
2147,Andreoni - Helices - Equipos Navais Ltda.,Luis,1,1,100.0
2152,Angra Revestimentos e Pinturas Ltda.,Meira,1,1,100.0
2155,Angular Comercio e Servicos Ltda.,Camargo,1,1,100.0
2162,Anhembi Industria e Comercio de Borracha Ltda.,Gobbetti,3,3,100.0
2166,"Anima Medica Comercio, Importacao e Exportacao de Produtos Medico-Hospitalares Ltda.",Esaote,2,2,100.0
2169,Anobril Anodizacao Pintura e Extrusao de Aluminio Ltda.,A.H.G,1,2,50.0
2171,Anpla Serve Manutencao e Construcao Ltda.,Bucci,1,2,50.0
2178,Anr Transportes Rodoviarios Ltda.,A.N.Empreendimentos,1,1,100.0
2179,Anritsu Eletronica Ltda.,Anritsu,1,2,50.0
2183,Anserv Geral Participacoes e Servicos Ltda.,Bertaglia,1,1,100.0
2187,Antalis do Brasil Produtos Para A Industria Grafica Ltda.,Antalis,3,3,100.0
2191,Antea Brasil Geologia e Meio Ambiente Ltda.,Aparecido,1,2,50.0
2198,Antec Comercio e Servicos de Telecomunicacoes Ltda.,Gama,1,1,100.0
2200,Antenas Paraiso Ltda.,Angela,1,2,50.0
2207,Anthares Solucoes em Climatizacao e Refrigeracao Ltda.,Colozza,2,5,40.0
2221,Anthis Metalurgica Ltda.,Acos,2,2,100.0
2229,Antlia Servicos de Tecnologia e Informatica Ltda.,Vitoretti,2,2,100.0
2230,Antomari Servicos Gerais Ltda.,Aguiar,1,2,50.0
2236,"Anton Paar Brasil Importacao, Exportacao e Comercio de Instrumentos Analiticos Ltda.",Anton,1,2,50.0
2243,Antonio Fernandes Ribeiro Filho,Antonio,1,1,100.0
2247,Antonio Gilmar Palma Ferreira Transportes e Instalacoes Ltda.,Antonio,1,1,100.0
2251,Aon Affinity do Brasil Servicos e Corretora de Seguros Ltda.,Aon,2,2,100.0
2256,Aor Pinturas Ltda.,Antonio,1,1,100.0
2259,Ap Wireless Brasil Gestao de Investimentos e Participacoes Ltda.,Ap,2,3,66.66666666666666
2270,Ap2 Esquadrias Metalicas Ltda.,Alvaro,1,1,100.0
2274,Apcd - Instituicao de Ensino Superior e Pesquisa Ltda.,Associacao,2,2,100.0
2280,Apex America Brasil Servicos de Comunicacao Ltda.,Apexamerica,1,1,100.0
2282,Apiario Polenectar Ltda.,Agnol,2,2,100.0
2288,Apis3 Consultoria e Propaganda Ltda.,Apis3,1,1,100.0
2290,Apoio - Servicos de Informacoes Cadastrais Ltda.,Alberto,1,2,50.0
2298,Apoio Eletric Industria e Comercio de Materiais Eletricos e Fixacao Ltda.,Administracao,1,1,100.0
2303,Apoio Logistico Araras Ltda.,Felix,1,1,100.0
2306,Apontador Busca Local Ltda.,Brasil,1,2,50.0
2313,Aport Seguranca Patrimonial Ltda.,Crespo,2,2,100.0
2317,Appnexus Latin America Tecnologia em Publicidade Ltda.,America,1,2,50.0
2323,Apr Consultoria Empresarial Ltda.,Borba,1,1,100.0
2325,Apr Corretora de Seguros Ltda.,Antonio,1,2,50.0
2336,Aquarius Software Ltda.,Carlos,2,7,28.57142857142857
2355,Aquila Fort Servicos Empresariais Ltda.,Ana,1,1,100.0
2359,Ar Distribuidora de Publicacoes Ltda.,Angelo,1,2,50.0
2363,Araguaia Capital Partners Consultoria de Investimentos Ltda.,Augusto,1,4,25.0
2376,Araguaia Industria Grafica e Editora Ltda.,Capital,1,3,33.33333333333333
2383,Arancini Bar e Restaurante Ltda.,Holding,1,1,100.0
2385,Aranda Editora Tecnica e Cultural Ltda.,Alves,1,3,33.33333333333333
2399,Arantes Alimentos Ltda.,Arantes,2,2,100.0
2403,Araucaria Saneamento S.A.,Oliveira,1,1,100.0
2406,Araujo & Augusto Recuperadora de Credito Ltda.,Aguiar,1,2,50.0
2418,Araujo e Policastro Advogados,Araujo,3,22,13.636363636363635
2487,Arburg Ltda.,Arburg,2,2,100.0
2496,Arcanjo S Servicos e Eventos Ltda.,Mendonca,2,3,66.66666666666666
2498,Archangels Seguranca e Vigilancialtda,Fernandes,1,1,100.0
2508,Arco Assessoria em Racionalizacao Construtiva S/S Ltda.,Bruno,2,23,8.695652173913043
2574,Arco-Iris Sinalizacao Viaria Ltda.,Angela,1,1,100.0
2577,Arcserve Brasil Tecnologia da Informacao Ltda.,Arcserve,2,2,100.0
2582,Arena Publicidade e Tecnologia Ltda.,Consultoria,1,2,50.0
2589,Argeplan Arquitetura e Engenharia Ltda.,Consorcio,3,3,100.0
2591,Argo It Tecnologia S.A.,Apg-Integra,1,1,100.0
2593,Argus Media Brasil Relatorios de Precos de Energia e Commodity Ltda.,Argus,2,3,66.66666666666666
2597,Aricanduva Industria e Comercio de Massas Alimenticias Ltda.,Alberto,1,1,100.0
2601,Aridan Oleo e Gas Ltda.,Artiles,1,2,50.0
2616,Arinos Assessoria Empresarial Ltda.,Ribeiro,4,4,100.0
2624,Arion Servicos de Telecomunicacoes Ltda.,Paulo,2,4,50.0
2636,Arizona Paes e Doces Ltda.,Ferreira,5,7,71.42857142857143
